current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,71802,Certified UX Designer,"English, Spanish",Hybrid,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,83862,Certified UX Designer,"English, Spanish",Hybrid,3,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,65846,DataCamp Track,English,Onsite,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,56616,Microsoft Azure,"English, Spanish",Hybrid,2,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,87785,Google Data Analytics,"English, French",Hybrid,6,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,83142,Google Data Analytics,"English, Hindi",Hybrid,11,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,92160,None,"English, German",Hybrid,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,74281,Certified UX Designer,"English, Hindi",Remote,12,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,72000,AWS Certified,"English, German",Onsite,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,73686,PMP,"English, French",Onsite,8,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,82647,Certified UX Designer,"English, Spanish",Hybrid,1,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,77037,Certified UX Designer,English,Hybrid,3,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,66484,Scrum Master,"English, Hindi",Hybrid,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,66154,Certified UX Designer,"English, Hindi",Remote,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,67507,Certified UX Designer,"English, German",Remote,10,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,56495,Google Data Analytics,"English, German",Hybrid,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,68931,Certified UX Designer,"English, Spanish",Hybrid,2,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,92379,Microsoft Azure,"English, Hindi",Remote,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,69201,None,English,Hybrid,7,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,98288,None,"English, German",Hybrid,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,73344,PMP,"English, Hindi",Onsite,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,94217,AWS Certified,"English, Spanish",Hybrid,1,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,89054,Google Data Analytics,English,Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,72356,AWS Certified,"English, German",Remote,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,82856,Certified UX Designer,English,Hybrid,4,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,55505,AWS Certified,"English, French",Hybrid,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,83397,Microsoft Azure,"English, Spanish",Onsite,11,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,59079,Google Data Analytics,"English, French",Remote,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,60366,Google Data Analytics,"English, German",Hybrid,3,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,72926,AWS Certified,"English, Spanish",Onsite,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,61021,PMP,"English, French",Onsite,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,67990,Google Data Analytics,"English, German",Hybrid,2,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,54232,Google Data Analytics,"English, German",Hybrid,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,91521,Certified UX Designer,English,Hybrid,2,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,70056,None,English,Hybrid,9,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,100686,Google Data Analytics,"English, German",Onsite,12,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,66422,PMP,"English, French",Onsite,10,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,94494,AWS Certified,"English, Spanish",Hybrid,2,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,77696,Microsoft Azure,"English, Spanish",Onsite,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,75711,AWS Certified,"English, Spanish",Onsite,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,78263,Scrum Master,"English, French",Hybrid,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,72480,DataCamp Track,"English, German",Remote,10,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,95956,Certified UX Designer,"English, Hindi",Hybrid,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,96677,Google Data Analytics,English,Onsite,7,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,78716,Scrum Master,"English, French",Hybrid,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,97588,None,"English, German",Hybrid,10,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,102580,None,English,Onsite,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,102754,Microsoft Azure,"English, Hindi",Remote,8,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,91694,Google Data Analytics,"English, French",Onsite,8,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,92439,Microsoft Azure,"English, Spanish",Onsite,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,81148,Google Data Analytics,"English, Hindi",Hybrid,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,59728,AWS Certified,"English, French",Hybrid,11,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,65004,Certified UX Designer,"English, Spanish",Onsite,9,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,71465,None,"English, German",Remote,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Medium,83490,Google Data Analytics,"English, German",Onsite,10,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,80750,Google Data Analytics,"English, French",Hybrid,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,92178,AWS Certified,"English, Spanish",Hybrid,5,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,73205,AWS Certified,"English, French",Remote,6,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,93938,DataCamp Track,"English, Spanish",Onsite,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,78507,DataCamp Track,"English, Spanish",Remote,13,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,84854,Google Data Analytics,"English, Hindi",Hybrid,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,68068,DataCamp Track,"English, German",Remote,13,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,77751,Microsoft Azure,"English, Spanish",Onsite,13,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,35341,College Project,"English, Hindi",Onsite,0,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,25088,Online Workshop,"English, Hindi",Onsite,0,5
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,30149,None,"English, French",Onsite,1,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,37166,LinkedIn Learning,English,Hybrid,0,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,29975,Online Workshop,English,Onsite,0,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,27156,None,"English, French",Onsite,0,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,38517,Online Workshop,English,Hybrid,0,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,36118,College Project,"English, French",Hybrid,0,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,28671,College Project,English,Remote,0,3
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,31117,None,"English, Hindi",Remote,0,3
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,33152,Internship Certificate,"English, Hindi",Onsite,2,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,29718,College Project,"English, French",Hybrid,0,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,34061,Online Workshop,"English, Hindi",Onsite,0,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,32500,None,"English, French",Onsite,2,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,37932,None,"English, Hindi",Hybrid,2,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,28358,None,English,Remote,2,5
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,32955,Internship Certificate,"English, Hindi",Remote,0,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,27201,College Project,"English, French",Onsite,1,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,39749,LinkedIn Learning,English,Onsite,0,3
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,35369,None,"English, French",Onsite,2,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,25260,College Project,English,Hybrid,0,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,32096,None,English,Onsite,1,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,28775,None,"English, French",Hybrid,0,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,28523,Internship Certificate,"English, Hindi",Hybrid,0,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,30690,Internship Certificate,English,Onsite,1,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,29968,Internship Certificate,"English, Hindi",Onsite,2,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,30982,Internship Certificate,English,Hybrid,1,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,39663,None,English,Remote,2,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,29565,Internship Certificate,English,Hybrid,2,3
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,37946,Internship Certificate,"English, Hindi",Hybrid,2,4
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,28770,College Project,"English, Hindi",Remote,2,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,26002,Online Workshop,"English, Hindi",Onsite,0,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,25130,Internship Certificate,English,Hybrid,1,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,37069,LinkedIn Learning,English,Onsite,1,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,33881,None,"English, French",Hybrid,2,3
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,30559,LinkedIn Learning,"English, Hindi",Hybrid,2,5
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,29343,Online Workshop,"English, Hindi",Hybrid,2,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,28863,Internship Certificate,"English, French",Onsite,1,5
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,26998,Online Workshop,English,Remote,0,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,29059,Internship Certificate,"English, Hindi",Remote,2,3
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,31460,Online Workshop,"English, Hindi",Remote,2,3
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,37346,None,"English, Hindi",Onsite,0,5
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,30432,Online Workshop,English,Remote,1,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,33936,Internship Certificate,English,Onsite,2,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,29845,College Project,"English, Hindi",Remote,1,4
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,36860,Online Workshop,"English, Hindi",Remote,0,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,36235,Internship Certificate,English,Onsite,0,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,37688,None,"English, French",Hybrid,2,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,29457,LinkedIn Learning,"English, Hindi",Onsite,2,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,33544,None,English,Hybrid,0,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,33444,None,"English, French",Remote,0,3
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,36779,Internship Certificate,English,Onsite,1,5
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,29270,College Project,"English, French",Onsite,2,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,38225,College Project,"English, Hindi",Hybrid,2,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,29435,LinkedIn Learning,English,Hybrid,2,4
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,34080,College Project,English,Remote,0,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,26245,Internship Certificate,"English, Hindi",Hybrid,2,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,36984,College Project,"English, French",Onsite,0,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,32183,College Project,English,Remote,0,3
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,34493,Online Workshop,"English, Hindi",Onsite,0,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,30922,Internship Certificate,"English, Hindi",Onsite,1,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,33639,Online Workshop,English,Onsite,1,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,37784,None,"English, Hindi",Onsite,2,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,37775,LinkedIn Learning,English,Remote,1,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,37677,College Project,"English, Hindi",Hybrid,1,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,31577,College Project,"English, Hindi",Hybrid,2,5
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,33809,None,English,Onsite,1,5
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,28972,Online Workshop,"English, French",Hybrid,0,5
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,28959,Internship Certificate,"English, French",Remote,1,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,36226,Internship Certificate,"English, French",Remote,1,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,30293,Online Workshop,"English, French",Hybrid,2,3
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,36894,College Project,English,Hybrid,2,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,25835,Online Workshop,English,Remote,2,5
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,26006,LinkedIn Learning,"English, French",Hybrid,0,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,37257,Online Workshop,"English, French",Hybrid,0,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,34943,Online Workshop,"English, Hindi",Remote,2,5
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,38446,None,"English, Hindi",Onsite,1,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,32071,Online Workshop,"English, French",Remote,2,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,25343,College Project,"English, Hindi",Hybrid,2,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,38190,Online Workshop,"English, French",Hybrid,2,3
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,30001,College Project,English,Hybrid,1,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,33207,Internship Certificate,English,Hybrid,1,4
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,39954,LinkedIn Learning,English,Onsite,1,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,25619,College Project,"English, Hindi",Remote,0,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,34238,College Project,"English, French",Hybrid,2,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Low,28861,None,English,Hybrid,1,4
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,34881,College Project,English,Hybrid,2,5
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Low,29717,Internship Certificate,"English, Hindi",Remote,1,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,31935,Internship Certificate,"English, French",Onsite,0,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Medium,36155,Internship Certificate,"English, Hindi",Hybrid,0,5
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,35161,Online Workshop,English,Hybrid,0,3
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Medium,32928,None,"English, Hindi",Hybrid,2,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,31000,None,"English, Hindi",Remote,0,3
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Low,39717,Online Workshop,"English, French",Hybrid,2,4
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,29083,None,"English, French",Remote,2,3
Intern - Data Analyst,Junior Data Analyst,"Excel, SQL, Communication",Bachelor's in Computer Science,0,Medium,33381,Internship Certificate,English,Remote,2,3
Intern - Web Developer,Frontend Developer,"HTML, CSS, JavaScript",Bachelor's in IT,0,Low,27257,LinkedIn Learning,"English, Hindi",Onsite,1,3
Support Trainee,Technical Support Engineer,"Linux, Helpdesk, CRM Tools",Bachelor's in Business,0,Medium,35615,Online Workshop,English,Remote,2,4
Graphic Intern,Junior UI/UX Designer,"Canva, Figma, Adobe XD",Bachelor's in Design,0,Medium,25960,Internship Certificate,"English, Hindi",Hybrid,1,5
Marketing Assistant,Marketing Analyst,"Social Media, Analytics, Email Campaigns",Bachelor's in Marketing,0,Low,29261,Online Workshop,English,Remote,1,4
